n,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Skip,Step,Clock Shift,Tx Power,Tx Narrow,Pager Enable,Comment
145,147.220,147.820,600 kHz,Plus,Auto,W7AVM,Y,Tone,127.3,,Scan,Auto,N,High,N,N,345;Whidbey Isl.
146,147.020,147.620,600 kHz,Plus,Auto,KB7ARA,Y,None,,,Scan,Auto,N,High,N,N,"31;Lookout Pass, MT"
147,441.100,446.100,5.0000 MHz,Plus,Auto,K7BEL,Y,Tone,156.7,,Scan,Auto,N,High,N,N,"489;Bellevue, WA"
148,147.080,147.680,600 kHz,Plus,Auto,WW7ATS,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Cougar Mtn, WA"
149,147.875,147.275,600 kHz,Minus,Auto,WW7STR,Y,Tone,88.5,,Scan,Auto,N,High,Y,N,"Cougar Mtn, WA"
150,224.440,222.840,1.6000 MHz,Minus,Auto,WW7STR,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"16503;Cougar Mtn, WA"
151,441.550,446.550,5.0000 MHz,Plus,Auto,WW7ATS,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"601;Cougar Mtn, WA"
152,442.150,447.150,5.0000 MHz,Plus,Auto,WW7STR,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Cougar Mtn, WA"
153,444.850,449.850,5.0000 MHz,Plus,Auto,WW7STR,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Cougar Mtn, WA"
154,927.2125,902.2125,25.0000 MHz,Minus,Auto,WW7STR,Y,Tone,114.8,,Scan,Auto,N,High,Y,N,"Cougar Mtn, WA"
155,146.7000,146.1000,600 kHz,Minus,Auto,W7EAT,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Eatonville
156,224.1800,222.5800,1.6000 MHz,Minus,Auto,W7EAT,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Graham
157,440.9500,445.9500,5.0000 MHz,Plus,Auto,K7DK,Y,Tone,110.9,,Scan,Auto,N,High,N,N,Buck Mtn.
