Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
123,N7WRQ,147.380,+,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,78;Mica Peak,,,,
124,N7OEP,440.075,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,9876;Enumclaw,,,,
125,N7OEP,443.175,+,5.000000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.0,,5.0W,9912;Enumclaw,,,,
126,N7OEP,53.330,-,1.700000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.0,,5.0W,375;Baldi Mtn.,,,,
127,KB7APU,145.250,-,0.600000,Tone,186.2,186.2,023,NN,023,Tone->Tone,FM,5.0,,5.0W,16535;Red Mountain,,,,
128,N7KN,441.425,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Whidbey Isl.,,,,
129,N7YRC,442.725,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,7099;Cowiche Mtn.,,,,
130,N7YRC,444.750,+,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,17413;Lookout Point,,,,
131,N7YRC,53.930,-,1.700000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,21604;Cowiche,,,,
132,N3KPU,145.230,-,0.600000,Tone,146.2,146.2,023,NN,023,Tone->Tone,FM,5.0,,5.0W,9851;Graham,,,,
133,KE7YYD,442.750,+,5.000000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.0,,5.0W,13889;JBLM,,,,
134,K7CST,147.320,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,9852;Kent,,,,
135,WA7SAR,146.860,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,106;Darland Mtn.,,,,
136,WA7SAR,147.080,+,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,95;King Mtn.,,,,
