COMMUNICATIONS RESOURCE AVAILABILITY WORKSHEET,,,,,,,Frequency Band,,,Description,,
,,,,,,,Amateur,,,20250917,,Change Description
,,,,,,,,,,,,
Ch #,"Channel
Configuration",Display Name,Channel/Repeater Name,RX Freq,N/W,"Rx Tone,
CC/TS/TG",TX Freq,N/W,"Tx Tone,
CC/TS/TG",Mode,Remarks,
Analog Voice — VHF High (2m),,,,,,,,,,,,
U61,Repeater,U61HLN,Highline ARC UHF,443.1000,W,CSQ†,448.1000,W,103.5,A,WA7ST Seatac,
U62,Repeater,U62KDS,Bellevue Alternate,444.7750,W,CSQ,449.7750,W,173.8,A,KI7DS Bellevue,
U63,Repeater,U63FED,Federal Way UHF,442.9500,W,CSQ†,447.9500,W,103.5,MF,WA7FW Federal Way,
U64,Repeater,U64VSH,Vashon/Maury Is,443.5000,W,CSQ,448.5000,W,103.5,A,W7VMI Vashon Is,
U65,Repeater,U65BUR,Burien,441.1250,W,CSQ,446.1250,W,103.5,A,W7BUR Burien,
U66,Repeater,U66SL2,Shoreline UHF Alternate,442.8250,W,CSQ,447.8250,W,103.5,A,W7AUX Shoreline; in-city preferred,
U67,Repeater,U67NSE,"Northshore, Kenmore, LFP",442.0000,W,CSQ†,447.0000,W,141.3,A,NE7MC Kenmore,
⋮,,,,,,,,,,,,
U71,Repeater,U71SMT,Snohomish Co Mntlk Ter,443.7250,N,CSQ†,448.7250,N,156.7,A,WA7DEM Mountlake Terrace;  PRIMARY for Northshore RACES - Northshore Emergency Management Coalition NEMCo Lake Forest Park & Kenmore,This repeater is now NARROWBAND.
U72,Repeater,U72BAI,Bainbridge Is,444.4750,N,CSQ†,449.4750,N,103.5,A,W7NPC Bainbridge Is,This repeater is now NARROWBAND.
⋮,,,,,,,,,,,,
U81,Repeater,U81PER,PSE Rattlesnake,441.7750,W,CSQ†,446.7750,W,103.5,A,W7PSE Network,
U82,Repeater,U82PEB,PSE Baldi,441.7000,W,CSQ,446.7000,W,103.5,A,W7PSE Network,
U83,Repeater,U83PEG,PSE Green Mt,441.7500,W,CSQ,446.7500,W,103.5,A,W7PSE Network,
U84,Repeater,U84PEA,PSE Anacortes,441.7250,W,CSQ,446.7250,W,103.5,A,W7PSE Network,
U85,Repeater,U85PEY,PSE Mt Blyn,442.4250,W,CSQ,447.4250,W,103.5,A,W7PSE Network,
U86,Repeater,U86PES,PSE Sumner,443.6250,W,CSQ,448.6250,W,103.5,A,W7PSE Network,
U87,Repeater,U87PPC,K7PP Cougar,443.4000,W,CSQ†,448.4000,W,123.0,A,K7PP Network; CTCSS 151.4,
U88,Repeater,U88PPG,K7PP Gold,441.2000,W,CSQ†,446.2000,W,123.0,A,K7PP Network,
U89,Repeater,U89PPK,K7PP KO Pk,441.3000,W,CSQ†,446.3000,W,123.0,A,K7PP Network; CTCSS 151.4,
U90,Repeater,U90TIG,WA7HJR Tiger,444.6500,W,CSQ†,449.6500,W,131.8,A,Evergreen Intertie,
U91,Repeater,U91GLD,WW7RA Gold UHF,442.6500,W,CSQ†,447.6500,W,103.5,A,wide area,
U92,Repeater,U92BCK,K7DK Buck Mt,440.9500,W,CSQ†,445.9500,W,110.9,A,wide area,
U93,Repeater,U93LSQ,K7LWH Lincoln Square,444.6000,W,CSQ,449.6000,W,103.5,A,K7LWH Bellevue,
U94,Repeater,U94SLB,K7SLB Cougar,440.1000,W,CSQ†,445.1000,W,110.9,MP,K7SLB Cougar Mt (formerly Ch 9),
,,,,,,,,,,,,
Analog Voice — VHF Low (6m),,,,,,,,,,,,
L01,Repeater,L01WSE,West Seattle,53.2900,W,CSQ,51.5900,W,100.0,A,W7AW West Seattle,
L02,Repeater,L02PSR,PSRG,52.8700,W,CSQ,51.1700,W,103.5,A,WW7PSR Capitol Hill/Beacon Hill,
⋮,,,,,,,,,,,,
