Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
93,U60RNT,441.9750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Renton; K7FDF Renton,,,,
94,U61HLN,443.1000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Highline ARC UHF; WA7ST Seatac,,,,
95,U62KDS,444.7750,+,5.000000,Tone,173.8,173.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Bellevue Alternate; KI7DS Bellevue,,,,
96,U63FED,442.9500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Federal Way UHF; WA7FW Federal Way,,,,
97,U64VSH,443.5000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Vashon/Maury Is; W7VMI Vashon Is,,,,
98,U65BUR,441.1250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Burien; W7BUR Burien,,,,
99,U66SL2,442.8250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Shoreline UHF Alternate; W7AUX Shoreline; in-city preferred,,,,
100,U67NSE,442.0000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Northshore, Kenmore, LFP; NE7MC Kenmore",,,,
101,U71SMT,443.7250,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Snohomish Co Mntlk Ter; WA7DEM Mountlake Terrace;  PRIMARY for Northshore RACES - Northshore Emergency Management Coalition NEMCo Lake Forest Park & Kenmore,,,,
102,U72BAI,444.4750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Bainbridge Is; W7NPC Bainbridge Is,,,,
103,U81PER,441.7750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,PSE Rattlesnake; W7PSE Network,,,,
104,U82PEB,441.7000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,PSE Baldi; W7PSE Network,,,,
105,U83PEG,441.7500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,PSE Green Mt; W7PSE Network,,,,
106,U84PEA,441.7250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,PSE Anacortes; W7PSE Network,,,,
107,U85PEY,442.4250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,PSE Mt Blyn; W7PSE Network,,,,
108,U86PES,443.6250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,PSE Sumner; W7PSE Network,,,,
109,U87PPC,443.4000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7PP Cougar; K7PP Network; CTCSS 151.4,,,,
110,U88PPG,441.2000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7PP Gold; K7PP Network,,,,
111,U89PPK,441.3000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7PP KO Pk; K7PP Network; CTCSS 151.4,,,,
112,U90TIG,444.6500,+,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,WA7HJR Tiger; Evergreen Intertie,,,,
113,U91GLD,442.6500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,WW7RA Gold UHF; wide area,,,,
114,U92BCK,440.9500,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7DK Buck Mt; wide area,,,,
115,U93LSQ,444.6000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7LWH Lincoln Square; K7LWH Bellevue,,,,
116,U94SLB,440.1000,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7SLB Cougar; K7SLB Cougar Mt (formerly Ch 9),,,,
